source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
src/forward/Kernel/layer_norm.cu , gcc (preprocessing 4) , src/forward/Kernel/layer_norm.cu  , /tmp/tmpxft_00073043_00000000-9_layer_norm.cpp4.ii ,  , nvcc , 173.7980 , ms
src/forward/Kernel/layer_norm.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-9_layer_norm.cpp4.ii  , /tmp/tmpxft_00073043_00000000-10_layer_norm.cudafe1.cpp , compute_52 , nvcc , 790.8280 , ms
src/forward/Kernel/layer_norm.cu , gcc (preprocessing 1) , src/forward/Kernel/layer_norm.cu  , /tmp/tmpxft_00073043_00000000-41_layer_norm.cpp1.ii , compute_52 , nvcc , 138.4410 , ms
src/forward/Kernel/layer_norm.cu , cicc ,  /tmp/tmpxft_00073043_00000000-41_layer_norm.cpp1.ii  , /tmp/tmpxft_00073043_00000000-10_layer_norm.ptx , compute_52 , nvcc , 705.6860 , ms
src/forward/Kernel/layer_norm.cu , ptxas , /tmp/tmpxft_00073043_00000000-10_layer_norm.ptx  , /tmp/tmpxft_00073043_00000000-42_layer_norm.sm_52.cubin , sm_52 , nvcc , 117.2600 , ms
src/forward/Kernel/layer_norm.cu , fatbinary , /tmp/tmpxft_00073043_00000000-42_layer_norm.sm_52.cubin /tmp/tmpxft_00073043_00000000-10_layer_norm.ptx  , /tmp/tmpxft_00073043_00000000-7_layer_norm.fatbin ,  , nvcc , 14.6410 , ms
src/forward/Kernel/layer_norm.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-43_layer_norm.o , compute_52 , nvcc , 689.4340 , ms
src/forward/Kernel/embedding.cu , gcc (preprocessing 4) , src/forward/Kernel/embedding.cu  , /tmp/tmpxft_00073043_00000000-13_embedding.cpp4.ii ,  , nvcc , 161.1240 , ms
src/forward/Kernel/embedding.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-13_embedding.cpp4.ii  , /tmp/tmpxft_00073043_00000000-14_embedding.cudafe1.cpp , compute_52 , nvcc , 759.0490 , ms
src/forward/Kernel/embedding.cu , gcc (preprocessing 1) , src/forward/Kernel/embedding.cu  , /tmp/tmpxft_00073043_00000000-44_embedding.cpp1.ii , compute_52 , nvcc , 159.7460 , ms
src/forward/Kernel/embedding.cu , cicc ,  /tmp/tmpxft_00073043_00000000-44_embedding.cpp1.ii  , /tmp/tmpxft_00073043_00000000-14_embedding.ptx , compute_52 , nvcc , 794.7200 , ms
src/forward/Kernel/embedding.cu , ptxas , /tmp/tmpxft_00073043_00000000-14_embedding.ptx  , /tmp/tmpxft_00073043_00000000-45_embedding.sm_52.cubin , sm_52 , nvcc , 113.9310 , ms
src/forward/Kernel/embedding.cu , fatbinary , /tmp/tmpxft_00073043_00000000-45_embedding.sm_52.cubin /tmp/tmpxft_00073043_00000000-14_embedding.ptx  , /tmp/tmpxft_00073043_00000000-11_embedding.fatbin ,  , nvcc , 14.5920 , ms
src/forward/Kernel/embedding.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-46_embedding.o , compute_52 , nvcc , 691.4360 , ms
src/forward/Kernel/linear.cu , gcc (preprocessing 4) , src/forward/Kernel/linear.cu  , /tmp/tmpxft_00073043_00000000-17_linear.cpp4.ii ,  , nvcc , 166.9860 , ms
src/forward/Kernel/linear.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-17_linear.cpp4.ii  , /tmp/tmpxft_00073043_00000000-18_linear.cudafe1.cpp , compute_52 , nvcc , 815.4190 , ms
src/forward/Kernel/linear.cu , gcc (preprocessing 1) , src/forward/Kernel/linear.cu  , /tmp/tmpxft_00073043_00000000-47_linear.cpp1.ii , compute_52 , nvcc , 194.0260 , ms
src/forward/Kernel/linear.cu , cicc ,  /tmp/tmpxft_00073043_00000000-47_linear.cpp1.ii  , /tmp/tmpxft_00073043_00000000-18_linear.ptx , compute_52 , nvcc , 780.9260 , ms
src/forward/Kernel/linear.cu , ptxas , /tmp/tmpxft_00073043_00000000-18_linear.ptx  , /tmp/tmpxft_00073043_00000000-48_linear.sm_52.cubin , sm_52 , nvcc , 124.1920 , ms
src/forward/Kernel/linear.cu , fatbinary , /tmp/tmpxft_00073043_00000000-48_linear.sm_52.cubin /tmp/tmpxft_00073043_00000000-18_linear.ptx  , /tmp/tmpxft_00073043_00000000-15_linear.fatbin ,  , nvcc , 14.0050 , ms
src/forward/Kernel/linear.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-49_linear.o , compute_52 , nvcc , 647.0650 , ms
src/forward/Kernel/attention_head.cu , gcc (preprocessing 4) , src/forward/Kernel/attention_head.cu  , /tmp/tmpxft_00073043_00000000-21_attention_head.cpp4.ii ,  , nvcc , 170.8460 , ms
src/forward/Kernel/attention_head.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-21_attention_head.cpp4.ii  , /tmp/tmpxft_00073043_00000000-22_attention_head.cudafe1.cpp , compute_52 , nvcc , 882.0590 , ms
src/forward/Kernel/attention_head.cu , gcc (preprocessing 1) , src/forward/Kernel/attention_head.cu  , /tmp/tmpxft_00073043_00000000-50_attention_head.cpp1.ii , compute_52 , nvcc , 160.7940 , ms
src/forward/Kernel/attention_head.cu , cicc ,  /tmp/tmpxft_00073043_00000000-50_attention_head.cpp1.ii  , /tmp/tmpxft_00073043_00000000-22_attention_head.ptx , compute_52 , nvcc , 740.9660 , ms
src/forward/Kernel/attention_head.cu , ptxas , /tmp/tmpxft_00073043_00000000-22_attention_head.ptx  , /tmp/tmpxft_00073043_00000000-51_attention_head.sm_52.cubin , sm_52 , nvcc , 138.7240 , ms
src/forward/Kernel/attention_head.cu , fatbinary , /tmp/tmpxft_00073043_00000000-51_attention_head.sm_52.cubin /tmp/tmpxft_00073043_00000000-22_attention_head.ptx  , /tmp/tmpxft_00073043_00000000-19_attention_head.fatbin ,  , nvcc , 14.2380 , ms
src/forward/Kernel/attention_head.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-52_attention_head.o , compute_52 , nvcc , 687.1250 , ms
src/forward/Kernel/interface.cu , gcc (preprocessing 4) , src/forward/Kernel/interface.cu  , /tmp/tmpxft_00073043_00000000-25_interface.cpp4.ii ,  , nvcc , 150.8140 , ms
src/forward/Kernel/interface.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-25_interface.cpp4.ii  , /tmp/tmpxft_00073043_00000000-26_interface.cudafe1.cpp , compute_52 , nvcc , 743.6150 , ms
src/forward/Kernel/interface.cu , gcc (preprocessing 1) , src/forward/Kernel/interface.cu  , /tmp/tmpxft_00073043_00000000-53_interface.cpp1.ii , compute_52 , nvcc , 139.3560 , ms
src/forward/Kernel/interface.cu , cicc ,  /tmp/tmpxft_00073043_00000000-53_interface.cpp1.ii  , /tmp/tmpxft_00073043_00000000-26_interface.ptx , compute_52 , nvcc , 855.0600 , ms
src/forward/Kernel/interface.cu , ptxas , /tmp/tmpxft_00073043_00000000-26_interface.ptx  , /tmp/tmpxft_00073043_00000000-54_interface.sm_52.cubin , sm_52 , nvcc , 130.2620 , ms
src/forward/Kernel/interface.cu , fatbinary , /tmp/tmpxft_00073043_00000000-54_interface.sm_52.cubin /tmp/tmpxft_00073043_00000000-26_interface.ptx  , /tmp/tmpxft_00073043_00000000-23_interface.fatbin ,  , nvcc , 14.2750 , ms
src/forward/Kernel/interface.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-55_interface.o , compute_52 , nvcc , 676.4510 , ms
src/backpropagation/Kernel/interface_back.cu , gcc (preprocessing 4) , src/backpropagation/Kernel/interface_back.cu  , /tmp/tmpxft_00073043_00000000-29_interface_back.cpp4.ii ,  , nvcc , 236.4260 , ms
src/backpropagation/Kernel/interface_back.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-29_interface_back.cpp4.ii  , /tmp/tmpxft_00073043_00000000-30_interface_back.cudafe1.cpp , compute_52 , nvcc , 1844.3401 , ms
src/backpropagation/Kernel/interface_back.cu , gcc (preprocessing 1) , src/backpropagation/Kernel/interface_back.cu  , /tmp/tmpxft_00073043_00000000-56_interface_back.cpp1.ii , compute_52 , nvcc , 201.6260 , ms
src/backpropagation/Kernel/interface_back.cu , cicc ,  /tmp/tmpxft_00073043_00000000-56_interface_back.cpp1.ii  , /tmp/tmpxft_00073043_00000000-30_interface_back.ptx , compute_52 , nvcc , 2057.9241 , ms
src/backpropagation/Kernel/interface_back.cu , ptxas , /tmp/tmpxft_00073043_00000000-30_interface_back.ptx  , /tmp/tmpxft_00073043_00000000-57_interface_back.sm_52.cubin , sm_52 , nvcc , 114.7970 , ms
src/backpropagation/Kernel/interface_back.cu , fatbinary , /tmp/tmpxft_00073043_00000000-57_interface_back.sm_52.cubin /tmp/tmpxft_00073043_00000000-30_interface_back.ptx  , /tmp/tmpxft_00073043_00000000-27_interface_back.fatbin ,  , nvcc , 14.2240 , ms
src/backpropagation/Kernel/interface_back.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-58_interface_back.o , compute_52 , nvcc , 1786.4000 , ms
src/backpropagation/Kernel/flash_attention.cu , gcc (preprocessing 4) , src/backpropagation/Kernel/flash_attention.cu  , /tmp/tmpxft_00073043_00000000-33_flash_attention.cpp4.ii ,  , nvcc , 149.7030 , ms
src/backpropagation/Kernel/flash_attention.cu , cudafe++ , /tmp/tmpxft_00073043_00000000-33_flash_attention.cpp4.ii  , /tmp/tmpxft_00073043_00000000-34_flash_attention.cudafe1.cpp , compute_52 , nvcc , 707.4000 , ms
src/backpropagation/Kernel/flash_attention.cu , gcc (preprocessing 1) , src/backpropagation/Kernel/flash_attention.cu  , /tmp/tmpxft_00073043_00000000-59_flash_attention.cpp1.ii , compute_52 , nvcc , 126.7450 , ms
src/backpropagation/Kernel/flash_attention.cu , cicc ,  /tmp/tmpxft_00073043_00000000-59_flash_attention.cpp1.ii  , /tmp/tmpxft_00073043_00000000-34_flash_attention.ptx , compute_52 , nvcc , 676.1130 , ms
src/backpropagation/Kernel/flash_attention.cu , ptxas , /tmp/tmpxft_00073043_00000000-34_flash_attention.ptx  , /tmp/tmpxft_00073043_00000000-60_flash_attention.sm_52.cubin , sm_52 , nvcc , 117.6520 , ms
src/backpropagation/Kernel/flash_attention.cu , fatbinary , /tmp/tmpxft_00073043_00000000-60_flash_attention.sm_52.cubin /tmp/tmpxft_00073043_00000000-34_flash_attention.ptx  , /tmp/tmpxft_00073043_00000000-31_flash_attention.fatbin ,  , nvcc , 14.3540 , ms
src/backpropagation/Kernel/flash_attention.cu , gcc (compiling) ,   , /tmp/tmpxft_00073043_00000000-61_flash_attention.o , compute_52 , nvcc , 659.5980 , ms
src/main.cpp src/kernel/utils.cu src/forward/Kernel/layer_norm.cu src/forward/Kernel/embedding.cu src/forward/Kernel/linear.cu src/forward/Kernel/attention_head.cu src/forward/Kernel/interface.cu src/backpropagation/Kernel/interface_back.cu src/backpropagation/Kernel/flash_attention.cu  , nvlink , /tmp/tmpxft_00073043_00000000-37_main.o /tmp/tmpxft_00073043_00000000-40_utils.o /tmp/tmpxft_00073043_00000000-43_layer_norm.o /tmp/tmpxft_00073043_00000000-46_embedding.o /tmp/tmpxft_00073043_00000000-49_linear.o /tmp/tmpxft_00073043_00000000-52_attention_head.o /tmp/tmpxft_00073043_00000000-55_interface.o /tmp/tmpxft_00073043_00000000-58_interface_back.o /tmp/tmpxft_00073043_00000000-61_flash_attention.o  , /tmp/tmpxft_00073043_00000000-62_attention_dlink.sm_52.cubin , sm_52 , nvcc , 4.7980 , ms
src/main.cpp src/kernel/utils.cu src/forward/Kernel/layer_norm.cu src/forward/Kernel/embedding.cu src/forward/Kernel/linear.cu src/forward/Kernel/attention_head.cu src/forward/Kernel/interface.cu src/backpropagation/Kernel/interface_back.cu src/backpropagation/Kernel/flash_attention.cu  , fatbinary , /tmp/tmpxft_00073043_00000000-62_attention_dlink.sm_52.cubin  , /tmp/tmpxft_00073043_00000000-36_attention_dlink.fatbin ,  , nvcc , 1.0290 , ms
src/main.cpp src/kernel/utils.cu src/forward/Kernel/layer_norm.cu src/forward/Kernel/embedding.cu src/forward/Kernel/linear.cu src/forward/Kernel/attention_head.cu src/forward/Kernel/interface.cu src/backpropagation/Kernel/interface_back.cu src/backpropagation/Kernel/flash_attention.cu  , gcc (compiling) , /usr/lib/nvidia-cuda-toolkit/bin/crt/link.stub  , /tmp/tmpxft_00073043_00000000-63_attention_dlink.o ,  , nvcc , 13.5000 , ms
src/main.cpp src/kernel/utils.cu src/forward/Kernel/layer_norm.cu src/forward/Kernel/embedding.cu src/forward/Kernel/linear.cu src/forward/Kernel/attention_head.cu src/forward/Kernel/interface.cu src/backpropagation/Kernel/interface_back.cu src/backpropagation/Kernel/flash_attention.cu  , gcc (linking) , /tmp/tmpxft_00073043_00000000-63_attention_dlink.o /tmp/tmpxft_00073043_00000000-37_main.o /tmp/tmpxft_00073043_00000000-40_utils.o /tmp/tmpxft_00073043_00000000-43_layer_norm.o /tmp/tmpxft_00073043_00000000-46_embedding.o /tmp/tmpxft_00073043_00000000-49_linear.o /tmp/tmpxft_00073043_00000000-52_attention_head.o /tmp/tmpxft_00073043_00000000-55_interface.o /tmp/tmpxft_00073043_00000000-58_interface_back.o /tmp/tmpxft_00073043_00000000-61_flash_attention.o  , src/bin/attention ,  , nvcc , 79.8940 , ms
 , nvcc (driver) ,  , src/bin/attention ,  , nvcc , 2.9121 , ms
src/main.cpp , gcc (compiling) , src/main.cpp  , /tmp/tmpxft_00073394_00000000-37_main.o ,  , nvcc , 2877.3850 , ms
src/kernel/utils.cu , gcc (preprocessing 4) , src/kernel/utils.cu  , /tmp/tmpxft_00073394_00000000-5_utils.cpp4.ii ,  , nvcc , 166.1160 , ms
src/kernel/utils.cu , cudafe++ , /tmp/tmpxft_00073394_00000000-5_utils.cpp4.ii  , /tmp/tmpxft_00073394_00000000-6_utils.cudafe1.cpp , compute_52 , nvcc , 770.3590 , ms
src/kernel/utils.cu , gcc (preprocessing 1) , src/kernel/utils.cu  , /tmp/tmpxft_00073394_00000000-38_utils.cpp1.ii , compute_52 , nvcc , 135.9490 , ms
src/kernel/utils.cu , cicc ,  /tmp/tmpxft_00073394_00000000-38_utils.cpp1.ii  , /tmp/tmpxft_00073394_00000000-6_utils.ptx , compute_52 , nvcc , 705.0410 , ms
src/kernel/utils.cu , ptxas , /tmp/tmpxft_00073394_00000000-6_utils.ptx  , /tmp/tmpxft_00073394_00000000-39_utils.sm_52.cubin , sm_52 , nvcc , 106.7430 , ms
src/kernel/utils.cu , fatbinary , /tmp/tmpxft_00073394_00000000-39_utils.sm_52.cubin /tmp/tmpxft_00073394_00000000-6_utils.ptx  , /tmp/tmpxft_00073394_00000000-3_utils.fatbin ,  , nvcc , 13.9730 , ms
src/kernel/utils.cu , gcc (compiling) ,   , /tmp/tmpxft_00073394_00000000-40_utils.o , compute_52 , nvcc , 676.1720 , ms
src/forward/Kernel/layer_norm.cu , gcc (preprocessing 4) , src/forward/Kernel/layer_norm.cu  , /tmp/tmpxft_00073394_00000000-9_layer_norm.cpp4.ii ,  , nvcc , 154.9110 , ms
src/forward/Kernel/layer_norm.cu , cudafe++ , /tmp/tmpxft_00073394_00000000-9_layer_norm.cpp4.ii  , /tmp/tmpxft_00073394_00000000-10_layer_norm.cudafe1.cpp , compute_52 , nvcc , 730.6160 , ms
src/forward/Kernel/layer_norm.cu , gcc (preprocessing 1) , src/forward/Kernel/layer_norm.cu  , /tmp/tmpxft_00073394_00000000-41_layer_norm.cpp1.ii , compute_52 , nvcc , 142.6800 , ms
